Prey code,Prey code,Common Name,Species name,Class name
APC,apc,CA sea cucumber,"Apostichopus californicus, formerly known as Parastichopus",other
CAN,can,Cancer crab,Cancer sp.,crab
CLA,cla,"Clam, unidentified",,clam
CLN,cln,Nuttal's cockle,Clinocardium nuttallii,clam
CRA,cra,"Crab, unidentified",,crab
MYT,myt,Soft-shell clam,Mya truncata,clam
PAS,pas,Pandalus shrimp,,other
PRS,prs,Littleneck clam,"Leukoma staminea, formerally protothaca staminea",clam
SAG,sag,Butter clam,Saxidomus giganteus,clam
SNA,sna,"Marine snail, various species",,snail
UNK,unk,Unknown,,